name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Yola South,,59680162B24147659958725,NGA,ADM2,education,DISTANCE,25000,377400,214408,88.69,4676,1.93,88.98,7941,1.87
Yola South,,59680162B24147659958725,NGA,ADM2,education,DISTANCE,30000,393747,223877,92.61,9469,3.92,92.83,16347,3.85
Yola South,,59680162B24147659958725,NGA,ADM2,education,DISTANCE,35000,399253,227138,93.96,3261,1.35,94.13,5506,1.3
Yola South,,59680162B24147659958725,NGA,ADM2,education,DISTANCE,40000,404044,229974,95.13,2836,1.17,95.26,4791,1.13
Yola South,,59680162B24147659958725,NGA,ADM2,education,DISTANCE,45000,407823,232212,96.06,2238,0.93,96.15,3779,0.89
Yola South,,59680162B24147659958725,NGA,ADM2,education,DISTANCE,50000,409441,233170,96.45,958,0.4,96.53,1618,0.38
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,5000,374067,227626,55.59,227626,55.59,55.62,374067,55.62
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,10000,426878,259764,63.44,32138,7.85,63.47,52811,7.85
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,15000,448098,272677,66.59,12913,3.15,66.62,21220,3.15
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,20000,469065,285444,69.71,12767,3.12,69.74,20967,3.12
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,25000,491315,298986,73.02,13542,3.31,73.05,22250,3.31
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,30000,511408,311237,76.01,12251,2.99,76.03,20093,2.99
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,35000,523258,318462,77.78,7225,1.76,77.8,11850,1.76
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,40000,550208,334904,81.79,16442,4.02,81.8,26950,4.01
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,45000,569911,346913,84.72,12009,2.93,84.73,19703,2.93
Bauchi,,59680162B24167581171767,NGA,ADM2,education,DISTANCE,50000,585923,356671,87.11,9758,2.38,87.11,16012,2.38
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,5000,1042614,637074,99.74,637074,99.74,99.75,1042614,99.75
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,10000,1045279,638722,100.0,1648,0.26,100.0,2665,0.25
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,15000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,20000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,25000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,30000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,35000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,40000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,45000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Gwale,,59680162B24203265637376,NGA,ADM2,education,DISTANCE,50000,1045279,638722,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,5000,271128,158456,99.48,158456,99.48,99.5,271128,99.5
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,10000,272483,159292,100.0,836,0.52,100.0,1355,0.5
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,15000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,20000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,25000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,30000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,35000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,40000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,45000,272483,159292,100.0,0,0.0,100.0,0,0.0
Fagge,,59680162B24316958669382,NGA,ADM2,education,DISTANCE,50000,272483,159292,100.0,0,0.0,100.0,0,0.0
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,5000,586,335,0.28,335,0.28,0.29,586,0.29
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,10000,6228,3664,3.04,3329,2.76,3.11,5642,2.82
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,15000,35060,20832,17.27,17168,14.23,17.5,28832,14.39
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,20000,44818,26719,22.15,5887,4.88,22.37,9758,4.87
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,25000,60146,35933,29.79,9214,7.64,30.02,15328,7.65
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,30000,70462,42119,34.92,6186,5.13,35.17,10316,5.15
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,35000,77586,46454,38.51,4335,3.59,38.72,7124,3.56
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,40000,80255,48082,39.86,1628,1.35,40.05,2669,1.33
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,45000,80365,48147,39.92,65,0.05,40.11,110,0.05
Maiha,,59680162B24409102010221,NGA,ADM2,education,DISTANCE,50000,83985,50346,41.74,2199,1.82,41.92,3620,1.81
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,10000,43212,26310,10.58,26310,10.58,10.46,43212,10.46
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,15000,185733,112091,45.07,85781,34.49,44.97,142521,34.5
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,20000,249624,150411,60.48,38320,15.41,60.43,63891,15.47
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,25000,311870,187736,75.49,37325,15.01,75.5,62246,15.07
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,30000,345740,208048,83.66,20312,8.17,83.7,33870,8.2
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,35000,358090,215455,86.63,7407,2.98,86.69,12350,2.99
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,40000,363197,218517,87.87,3062,1.23,87.93,5107,1.24
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,45000,378006,227512,91.48,8995,3.62,91.51,14809,3.59
Dawakin Kudu,,59680162B24430291126178,NGA,ADM2,education,DISTANCE,50000,394800,237711,95.58,10199,4.1,95.58,16794,4.07
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,10000,11899,6169,6.83,6169,6.83,6.84,11899,6.84
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,15000,76628,39737,43.97,33568,37.14,44.02,64729,37.18
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,20000,131834,68370,75.65,28633,31.68,75.73,55206,31.71
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,25000,159322,82693,91.5,14323,15.85,91.53,27488,15.79
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,30000,171788,89179,98.68,6486,7.18,98.69,12466,7.16
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,35000,174042,90355,99.98,1176,1.3,99.98,2254,1.29
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,40000,174042,90355,99.98,0,0.0,99.98,0,0.0
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,45000,174073,90371,100.0,16,0.02,100.0,31,0.02
Ukanafun,,59680162B24434385919413,NGA,ADM2,education,DISTANCE,50000,174073,90371,100.0,0,0.0,100.0,0,0.0
Bakura,,59680162B24502748844916,NGA,ADM2,education,DISTANCE,50000,51,31,0.03,31,0.03,0.03,51,0.03
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,5000,289732,161819,36.09,161819,36.09,36.24,289732,36.24
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,10000,526769,295986,66.01,134167,29.92,65.89,237037,29.65
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,15000,612808,343910,76.7,47924,10.69,76.65,86039,10.76
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,20000,645580,362357,80.81,18447,4.11,80.75,32772,4.1
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,25000,676691,379729,84.68,17372,3.87,84.64,31111,3.89
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,30000,705286,395663,88.24,15934,3.55,88.22,28595,3.58
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,35000,721658,404781,90.27,9118,2.03,90.26,16372,2.05
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,40000,730778,409879,91.41,5098,1.14,91.41,9120,1.14
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,45000,737716,413736,92.27,3857,0.86,92.27,6938,0.87
Chikun,,59680162B24550873512487,NGA,ADM2,education,DISTANCE,50000,741205,415697,92.71,1961,0.44,92.71,3489,0.44
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,5000,1650,969,1.2,969,1.2,1.17,1650,1.17
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,10000,2619,1530,1.89,561,0.69,1.86,969,0.69
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,15000,3661,2126,2.63,596,0.74,2.6,1042,0.74
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,20000,13885,7586,9.39,5460,6.76,9.86,10224,7.26
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,25000,20405,11139,13.78,3553,4.4,14.49,6520,4.63
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,30000,29031,16021,19.82,4882,6.04,20.62,8626,6.13
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,35000,42385,23802,29.45,7781,9.63,30.11,13354,9.49
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,40000,75899,43267,53.53,19465,24.08,53.91,33514,23.81
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,45000,110637,63479,78.54,20212,25.01,78.59,34738,24.67
Igalamela-Odolu,,59680162B24636018787341,NGA,ADM2,education,DISTANCE,50000,123874,71098,87.96,7619,9.43,87.99,13237,9.4
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,5000,230697,138684,100.0,138684,100.0,100.0,230697,100.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,10000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,15000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,20000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,25000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,30000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,35000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,40000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,45000,230697,138684,100.0,0,0.0,100.0,0,0.0
Tarauni,,59680162B24840578600877,NGA,ADM2,education,DISTANCE,50000,230697,138684,100.0,0,0.0,100.0,0,0.0
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,20000,34,21,0.01,21,0.01,0.01,34,0.01
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,25000,4673,2857,1.84,2836,1.83,1.83,4639,1.82
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,30000,14936,9120,5.87,6263,4.03,5.86,10263,4.03
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,35000,34039,20756,13.37,11636,7.49,13.35,19103,7.49
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,40000,119025,72497,46.68,51741,33.32,46.69,84986,33.34
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,45000,164416,100136,64.48,27639,17.8,64.5,45391,17.81
Logo,,59680162B24857715869577,NGA,ADM2,education,DISTANCE,50000,190551,116058,74.73,15922,10.25,74.75,26135,10.25
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,5000,3105,1568,1.02,1568,1.02,1.05,3105,1.05
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,10000,81824,42667,27.63,41099,26.61,27.7,78719,26.65
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,15000,182016,94997,61.51,52330,33.88,61.61,100192,33.91
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,20000,261959,136897,88.64,41900,27.13,88.67,79943,27.06
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,25000,292041,152665,98.85,15768,10.21,98.85,30082,10.18
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,30000,293373,153359,99.3,694,0.45,99.3,1332,0.45
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,35000,293891,153630,99.48,271,0.18,99.48,518,0.18
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,40000,295260,154348,99.94,718,0.46,99.94,1369,0.46
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,45000,295260,154348,99.94,0,0.0,99.94,0,0.0
Essien Udim,,59680162B25032665557199,NGA,ADM2,education,DISTANCE,50000,295260,154348,99.94,0,0.0,99.94,0,0.0
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,5000,2147,1297,0.55,1297,0.55,0.55,2147,0.55
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,10000,4582,2768,1.18,1471,0.63,1.18,2435,0.63
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,15000,33717,20485,8.72,17717,7.55,8.7,29135,7.52
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,20000,56439,34276,14.6,13791,5.87,14.57,22722,5.86
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,25000,82794,50301,21.42,16025,6.83,21.37,26355,6.8
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,30000,87435,53111,22.62,2810,1.2,22.57,4641,1.2
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,35000,113928,69283,29.51,16172,6.89,29.4,26493,6.84
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,40000,128200,77911,33.18,8628,3.67,33.09,14272,3.68
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,45000,146356,88913,37.87,11002,4.69,37.77,18156,4.69
Kwande,,59680162B2505789698133,NGA,ADM2,education,DISTANCE,50000,156674,95156,40.53,6243,2.66,40.44,10318,2.66
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,5000,139,77,0.14,77,0.14,0.13,139,0.13
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,10000,24525,13514,23.71,13437,23.57,23.65,24386,23.52
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,15000,50990,28063,49.24,14549,25.53,49.18,26465,25.53
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,20000,64644,35555,62.38,7492,13.14,62.35,13654,13.17
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,25000,83367,45888,80.51,10333,18.13,80.41,18723,18.06
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,30000,88107,48455,85.01,2567,4.5,84.98,4740,4.57
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,35000,92532,50872,89.25,2417,4.24,89.25,4425,4.27
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,40000,96041,52782,92.6,1910,3.35,92.63,3509,3.38
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,45000,99773,54841,96.22,2059,3.61,96.23,3732,3.6
Akoko South East,,59680162B2512996274201,NGA,ADM2,education,DISTANCE,50000,99774,54842,96.22,1,0.0,96.23,1,0.0
Etung,,59680162B25131261753844,NGA,ADM2,education,DISTANCE,40000,620,328,0.56,328,0.56,0.57,620,0.57
Etung,,59680162B25131261753844,NGA,ADM2,education,DISTANCE,45000,11591,6172,10.62,5844,10.06,10.63,10971,10.06
Etung,,59680162B25131261753844,NGA,ADM2,education,DISTANCE,50000,17241,9189,15.81,3017,5.19,15.81,5650,5.18
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,5000,167725,80842,31.91,80842,31.91,32.2,167725,32.2
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,10000,423935,206234,81.41,125392,49.5,81.38,256210,49.18
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,15000,484785,235743,93.05,29509,11.65,93.06,60850,11.68
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,20000,489442,237974,93.94,2231,0.88,93.95,4657,0.89
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,25000,493375,239956,94.72,1982,0.78,94.71,3933,0.75
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,30000,496342,241469,95.31,1513,0.6,95.28,2967,0.57
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,35000,499359,242934,95.89,1465,0.58,95.86,3017,0.58
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,40000,509531,247850,97.83,4916,1.94,97.81,10172,1.95
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,45000,520936,253338,100.0,5488,2.17,100.0,11405,2.19
Ado-Ekiti,,59680162B25214275797379,NGA,ADM2,education,DISTANCE,50000,520936,253338,100.0,0,0.0,100.0,0,0.0
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,20000,255,158,0.06,158,0.06,0.06,255,0.06
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,25000,836,518,0.21,360,0.15,0.21,581,0.14
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,30000,2936,1817,0.73,1299,0.52,0.73,2100,0.52
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,35000,5893,3636,1.47,1819,0.73,1.46,2957,0.73
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,40000,7874,4851,1.96,1215,0.49,1.95,1981,0.49
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,45000,12067,7424,2.99,2573,1.04,2.98,4193,1.04
Maru,,59680162B25309364748934,NGA,ADM2,education,DISTANCE,50000,26116,16044,6.47,8620,3.48,6.46,14049,3.47
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,10000,174,106,0.1,106,0.1,0.1,174,0.1
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,15000,1988,1215,1.16,1109,1.06,1.16,1814,1.06
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,20000,3073,1874,1.79,659,0.63,1.8,1085,0.63
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,25000,6478,3954,3.78,2080,1.99,3.79,3405,1.99
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,30000,9905,6049,5.79,2095,2.0,5.79,3427,2.0
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,35000,47524,29046,27.79,22997,22.0,27.79,37619,22.0
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,40000,103119,63033,60.3,33987,32.51,60.3,55595,32.51
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,45000,113811,69569,66.55,6536,6.25,66.55,10692,6.25
Gwer West,,59680162B25446485561557,NGA,ADM2,education,DISTANCE,50000,119661,73145,69.97,3576,3.42,69.97,5850,3.42
Tureta,,59680162B25728635468586,NGA,ADM2,education,DISTANCE,50000,106,63,0.08,63,0.08,0.08,106,0.08
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,5000,19760,12058,5.38,12058,5.38,5.37,19760,5.37
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,10000,30285,18472,8.24,6414,2.86,8.24,10525,2.86
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,15000,37063,22597,10.08,4125,1.84,10.08,6778,1.84
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,20000,49329,30053,13.41,7456,3.33,13.42,12266,3.34
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,25000,65588,39957,17.83,9904,4.42,17.84,16259,4.42
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,30000,70601,43013,19.19,3056,1.36,19.2,5013,1.36
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,35000,78206,47650,21.26,4637,2.07,21.27,7605,2.07
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,40000,84386,51419,22.94,3769,1.68,22.95,6180,1.68
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,45000,88356,53836,24.02,2417,1.08,24.03,3970,1.08
Bagudu,,59680162B25890229119009,NGA,ADM2,education,DISTANCE,50000,100610,61301,27.35,7465,3.33,27.37,12254,3.33
Zaki,,59680162B26282391091652,NGA,ADM2,education,DISTANCE,30000,1048,638,0.29,638,0.29,0.29,1048,0.29
Zaki,,59680162B26282391091652,NGA,ADM2,education,DISTANCE,35000,11012,6747,3.09,6109,2.8,3.09,9964,2.8
Zaki,,59680162B26282391091652,NGA,ADM2,education,DISTANCE,40000,30349,18611,8.53,11864,5.44,8.52,19337,5.43
Zaki,,59680162B26282391091652,NGA,ADM2,education,DISTANCE,45000,53369,32683,14.98,14072,6.45,14.98,23020,6.46
Zaki,,59680162B26282391091652,NGA,ADM2,education,DISTANCE,50000,86167,52753,24.17,20070,9.2,24.18,32798,9.2
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,5000,0,0,0.0,0,0.0,0.0,0,0.0
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,10000,658,405,0.29,405,0.29,0.29,658,0.29
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,15000,2553,1569,1.14,1164,0.85,1.14,1895,0.85
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,20000,5517,3389,2.46,1820,1.32,2.46,2964,1.32
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,25000,9673,5946,4.32,2557,1.86,4.32,4156,1.86
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,30000,25479,15656,11.38,9710,7.06,11.37,15806,7.06
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,35000,65885,40443,29.41,24787,18.02,29.41,40406,18.04
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,40000,140218,86079,62.59,45636,33.19,62.6,74333,33.18
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,45000,152587,93664,68.11,7585,5.52,68.12,12369,5.52
Kazaure,,59680162B26576505992161,NGA,ADM2,education,DISTANCE,50000,188585,115759,84.18,22095,16.07,84.19,35998,16.07
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,15000,10311,6139,5.83,6139,5.83,5.81,10311,5.81
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,20000,25060,14912,14.15,8773,8.33,14.12,14749,8.31
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,25000,76970,45605,43.29,30693,29.13,43.37,51910,29.25
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,30000,134239,79601,75.56,33996,32.27,75.64,57269,32.27
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,35000,166926,99090,94.05,19489,18.5,94.06,32687,18.42
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,40000,174954,103858,98.58,4768,4.53,98.58,8028,4.52
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,45000,176388,104713,99.39,855,0.81,99.39,1434,0.81
Ogbadibo,,59680162B26648923761656,NGA,ADM2,education,DISTANCE,50000,177470,105355,100.0,642,0.61,100.0,1082,0.61
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,5000,299130,147318,92.4,147318,92.4,92.15,299130,92.15
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,10000,324618,159442,100.0,12124,7.6,100.0,25488,7.85
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,15000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,20000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,25000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,30000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,35000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,40000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,45000,324618,159442,100.0,0,0.0,100.0,0,0.0
Ibadan South East,,59680162B26854390786792,NGA,ADM2,education,DISTANCE,50000,324618,159442,100.0,0,0.0,100.0,0,0.0
Kukawa,,59680162B26946733152657,NGA,ADM2,education,DISTANCE,5000,73538,42756,23.86,42756,23.86,23.85,73538,23.85
Kukawa,,59680162B26946733152657,NGA,ADM2,education,DISTANCE,10000,132322,76935,42.93,34179,19.07,42.92,58784,19.07
Kukawa,,59680162B26946733152657,NGA,ADM2,education,DISTANCE,15000,153679,89352,49.86,12417,6.93,49.85,21357,6.93
Kukawa,,59680162B26946733152657,NGA,ADM2,education,DISTANCE,20000,157214,91408,51.01,2056,1.15,50.99,3535,1.15
Kukawa,,59680162B26946733152657,NGA,ADM2,education,DISTANCE,25000,174740,101597,56.69,10189,5.69,56.68,17526,5.68
Kukawa,,59680162B26946733152657,NGA,ADM2,education,DISTANCE,30000,178386,103717,57.87,2120,1.18,57.86,3646,1.18
